symbol,date_0d,price_0d,perf_7d,perf_30d,perf_90d,perf_365d,listing_date,days_diff
INCF.JK,2002-06-14 02:00:00,135.0,0.0,0.0,0.0,-25.925925925925924,2016-09-06,-5198
KOPI.JK,2001-04-24 02:00:00,300.0,1.6666666666666667,1.6666666666666667,116.66666666666667,-86.66666666666667,2015-05-04,-5123
ICBP.JK,2000-10-02 02:00:00,420.0,-10.119047619047619,-7.738095238095238,-7.738095238095238,-19.642857142857142,2010-10-07,-3657
TPIA.JK,2002-08-23 02:00:00,1000.0,0.0,0.0,0.0,20.0,2008-05-26,-2103
APEX.JK,2007-12-28 02:00:00,2100.0,0.0,-10.0,-20.952380952380953,16.666666666666664,2013-06-05,-1986
RAJA.JK,2003-01-22 02:00:00,14.637001991271973,0.0,0.0,0.0,224.99999185562115,2006-04-19,-1183
DEFI.JK,2001-05-03 02:00:00,49.997798919677734,0.0,0.0,105.00000648527083,-30.000000762973038,2001-07-06,-64
RELI.JK,2005-05-10 02:00:00,370.1042785644531,0.0,0.0,-41.176469133117024,-42.35294073993511,2005-07-13,-64
DEAL.JK,2018-11-09 02:00:00,254.0,44.881889763779526,55.118110236220474,191.33858267716533,722.8346456692913,2018-11-11,-2
MTWI.JK,2017-10-11 02:00:00,165.3978729248047,223.5293830028373,82.35293737773323,-5.294120631781034,-42.35294199048574,2017-10-12,-1
KOCI.JK,2023-10-06 02:00:00,84.0,-20.238095238095237,-40.476190476190474,-40.476190476190474,-35.714285714285715,2023-10-07,-1
POWR.JK,2016-06-14 02:00:00,1540.0,-0.974025974025974,-6.493506493506493,-6.493506493506493,-25.97402597402597,2016-06-14,0
ITMG.JK,2007-12-18 02:00:00,19600.0,-3.061224489795918,23.72448979591837,11.73469387755102,-45.66326530612245,2007-12-18,0
ROTI.JK,2010-06-28 02:00:00,298.0,12.751677852348994,19.463087248322147,81.20805369127517,84.56375838926175,2010-06-28,0
PMJS.JK,2019-12-18 02:00:00,200.0,-24.0,-26.0,-44.5,-42.0,2019-12-18,0
BSML.JK,2021-12-16 02:00:00,157.0,-10.828025477707007,158.59872611464968,210.82802547770703,171.3375796178344,2021-12-16,0
RSGK.JK,2021-09-08 02:00:00,2150.0,-12.093023255813954,-21.16279069767442,-22.55813953488372,-39.53488372093023,2021-09-08,0
PGEO.JK,2023-02-24 02:00:00,875.0,0.0,-15.428571428571427,-5.714285714285714,40.0,2023-02-24,0
MDIA.JK,2014-04-11 02:00:00,151.0,13.245033112582782,24.17218543046358,24.834437086092713,148.34437086092714,2014-04-11,0
BIKA.JK,2015-07-14 02:00:00,1500.0,-14.333333333333334,22.666666666666664,32.666666666666664,-61.33333333333333,2015-07-14,0
IPPE.JK,2021-12-09 02:00:00,135.0,48.148148148148145,46.666666666666664,237.77777777777777,21.48148148148148,2021-12-09,0
IRRA.JK,2019-10-15 02:00:00,560.0,-11.785714285714285,5.357142857142857,26.785714285714285,43.75,2019-10-15,0
KREN.JK,2002-06-28 02:00:00,6.814998149871826,-3.4482787573291427,-37.93103134622676,-41.3793101035559,-20.689665547096094,2002-06-28,0
NOBU.JK,2013-05-20 02:00:00,399.61395263671875,60.465124803830605,60.465124803830605,41.860468668262754,86.04651553508903,2013-05-20,0
NAYZ.JK,2023-02-06 02:00:00,90.0,-15.555555555555555,5.555555555555555,76.66666666666667,-82.22222222222221,2023-02-06,0
RUIS.JK,2006-07-12 02:00:00,375.0,-2.666666666666667,12.0,28.000000000000004,33.33333333333333,2006-07-12,0
GOLL.JK,2014-12-23 02:00:00,289.0,-13.148788927335639,-26.297577854671278,-37.71626297577855,-77.16262975778547,2014-12-23,0
NICE.JK,2024-01-09 02:00:00,525.0,32.38095238095238,-0.9523809523809524,63.8095238095238,24.761904761904763,2024-01-09,0
OLIV.JK,2022-05-17 02:00:00,101.0,-0.9900990099009901,0.0,-41.584158415841586,-78.21782178217822,2022-05-17,0
JAST.JK,2019-05-16 02:00:00,368.0,77.98913043478261,50.815217391304344,223.3695652173913,-55.97826086956522,2019-05-16,0
DIGI.JK,2018-09-18 02:00:00,68.0,202.94117647058823,236.76470588235296,420.5882352941177,485.2941176470588,2018-09-18,0
ARKO.JK,2022-07-08 02:00:00,280.0,24.285714285714285,128.57142857142858,146.42857142857142,128.57142857142858,2022-07-08,0
ADRO.JK,2008-07-16 02:00:00,1730.0,-4.046242774566474,-11.560693641618498,-57.80346820809249,-32.947976878612714,2008-07-16,0
PACK.JK,2023-02-08 02:00:00,146.0,-35.61643835616438,-15.068493150684931,38.35616438356164,-72.6027397260274,2023-02-08,0
RISE.JK,2018-07-09 02:00:00,276.0,54.347826086956516,80.43478260869566,104.71014492753623,133.69565217391303,2018-07-09,0
MPMX.JK,2013-05-29 02:00:00,1460.0,-2.73972602739726,-21.91780821917808,-34.93150684931507,-8.561643835616438,2013-05-29,0
DIVA.JK,2018-11-27 02:00:00,1640.0,-3.353658536585366,-4.878048780487805,-5.182926829268292,14.634146341463413,2018-11-27,0
ACES.JK,2007-11-06 02:00:00,98.0,-12.244897959183673,-12.244897959183673,-11.224489795918368,-20.408163265306122,2007-11-06,0
MAIN.JK,2006-02-10 02:00:00,226.0,-10.619469026548673,-19.469026548672566,-22.123893805309734,-93.71681424368799,2006-02-10,0
IPCM.JK,2017-12-22 02:00:00,402.0,7.960199004975125,11.940298507462686,12.935323383084576,-1.9900497512437811,2017-12-22,0
SOUL.JK,2023-01-06 02:00:00,99.0,-36.36363636363637,-56.56565656565656,-70.70707070707071,-77.77777777777779,2023-01-06,0
